Strain Assessment Type,0,ASME 2016
Calculation Mode,      1, calculated circ and axial. 
Axial smooth factor,   0.001
Circ smooth factor,    0.0001
Channels analysed, 29, 30, 31, 32, 33, 34, 
Intermed circ traces,5
Wall Thickness,    6.350000 mm, 0.250000 in 
OD,                323.850000 mm, 12.750000 in 
Axial Disp  (m)
No of rows, 321, no of cols, 7 
        6277.276142400000936,   0.000088407995841,  -0.000659735567690,  -0.001761644376467,   0.000000000000000,  -0.000606297120929,  -0.000141186245983, 
        6277.278276000000005,   0.000087823663351,  -0.000667504217860,  -0.001780315510405,   0.000000000000000,  -0.000613689024888,  -0.000139309781349, 
        6277.280409600000894,   0.000087254026082,  -0.000675406981722,  -0.001799088209202,   0.000000000000000,  -0.000621195981492,  -0.000137393922790, 
        6277.282238400001006,   0.000086779135347,  -0.000682287415966,  -0.001815256215173,   0.000000000000000,  -0.000627723385200,  -0.000135720089540, 
        6277.284372000000076,   0.000086242933496,  -0.000690438970308,  -0.001834204647655,   0.000000000000000,  -0.000635448596758,  -0.000133729932034, 
        6277.286200800000188,   0.000085800475810,  -0.000697532346883,  -0.001850516310687,   0.000000000000000,  -0.000642166045990,  -0.000131991793014, 
        6277.288334400000167,   0.000085306837438,  -0.000705931271380,  -0.001869624228895,   0.000000000000000,  -0.000650117396435,  -0.000129926033147, 
        6277.290163200000279,   0.000084905015234,  -0.000713235450848,  -0.001886065563972,   0.000000000000000,  -0.000657033302344,  -0.000128122777221, 
        6277.292296800000258,   0.000084462851887,  -0.000721878864029,  -0.001905317032908,   0.000000000000000,  -0.000665222785316,  -0.000125981066722, 
        6277.294430400000238,   0.000084051016418,  -0.000730652733637,  -0.001924639486610,   0.000000000000000,  -0.000673547047431,  -0.000123798371453, 
        6277.296259200000350,   0.000083723663248,  -0.000738276387468,  -0.001941254209092,   0.000000000000000,  -0.000680793541362,  -0.000121894762743, 
        6277.298392800000329,   0.000083373223841,  -0.000747290274792,  -0.001960694925493,   0.000000000000000,  -0.000689382444754,  -0.000119635792859, 
        6277.300221600000441,   0.000083100811255,  -0.000755118317710,  -0.001977403829012,   0.000000000000000,  -0.000696863642754,  -0.000117667152602, 
        6277.302355200000420,   0.000082816599587,  -0.000764368920776,  -0.001996946935360,   0.000000000000000,  -0.000705735758112,  -0.000115333253865, 
        6277.304184000000532,   0.000082602781428,  -0.000772398143567,  -0.002013737810170,   0.000000000000000,  -0.000713467874115,  -0.000113301610570, 
        6277.306317600000511,   0.000082389541919,  -0.000781881150227,  -0.002033370239806,   0.000000000000000,  -0.000722641627839,  -0.000110895720740, 
        6277.308146400000624,   0.000082238815050,  -0.000790107632596,  -0.002050232283964,   0.000000000000000,  -0.000730638852074,  -0.000108803714324, 
        6277.310279999999693,   0.000082101239164,  -0.000799818511039,  -0.002069940814003,   0.000000000000000,  -0.000740128452367,  -0.000106329486215, 
        6277.312413600000582,   0.000082005553842,  -0.000809650105013,  -0.002089684312644,   0.000000000000000,  -0.000749792459856,  -0.000103820821695, 
        6277.314242400000694,   0.000081957511427,  -0.000818171963986,  -0.002106632207418,   0.000000000000000,  -0.000758216432967,  -0.000101644803493, 
        6277.316375999999764,   0.000081941511231,  -0.000828223241477,  -0.002126430493862,   0.000000000000000,  -0.000768210158184,  -0.000099078342956, 
        6277.318204800000785,   0.000081962088669,  -0.000836931040058,  -0.002143419917226,   0.000000000000000,  -0.000776919810377,  -0.000096856464781, 
        6277.320338400000765,   0.000082025505875,  -0.000847196718359,  -0.002163260969658,   0.000000000000000,  -0.000787250420525,  -0.000094240521658, 
        6277.322167199999967,   0.000082112691427,  -0.000856086266076,  -0.002180283056526,   0.000000000000000,  -0.000796252245839,  -0.000091979419552, 
        6277.324300800000856,   0.000082250825082,  -0.000866561658926,  -0.002200158448057,   0.000000000000000,  -0.000806928074586,  -0.000089321170740, 
